項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
254,天下冷氣有限公司,TCN-40AH,5.04,1,11.20,3.30,一對一分離式
255,天下冷氣有限公司,TCN-14A,5.36,1,4.10,1.06,一對一分離式
256,天下冷氣有限公司,TCN-30A,5.12,1,8.50,2.50,一對一分離式
257,天下冷氣有限公司,TCN-18AHS,5.34,1,5.00,1.32,一對一分離式
258,天下冷氣有限公司,TDA-13AH,5.93,1,3.60,0.86,一對一分離式
259,天下冷氣有限公司,TCN-30AH,5.12,1,8.50,2.50,一對一分離式
260,天下冷氣有限公司,TDA-14AH,5.38,1,4.20,0.98,一對一分離式
261,天下冷氣有限公司,TCN-40A,5.04,1,11.20,3.30,一對一分離式
262,天下冷氣有限公司,TDV-10AH,6.09,1,2.80,0.67,一對一分離式
263,太欣科技空調有限公司,TXA-722KV,5.11,1,7.20,2.25,一對一分離式
264,太欣科技空調有限公司,TXA-361KV,5.93,1,3.60,0.86,一對一分離式
265,太欣科技空調有限公司,TXA-1121UVC,5.03,1,11.20,3.39,一對一分離式
266,太欣科技空調有限公司,TXA-1121UV,5.03,1,11.20,3.39,一對一分離式
267,太欣科技空調有限公司,TXA-851NV,5.12,1,8.50,2.60,一對一分離式
268,太欣科技空調有限公司,TXA-721KVC,5.12,1,7.20,2.16,一對一分離式
269,太欣科技空調有限公司,TXA-502KV,5.41,1,5.00,1.65,一對一分離式
270,太欣科技空調有限公司,TXA-501KV,5.41,1,5.00,1.65,一對一分離式
271,太欣科技空調有限公司,TXA-281KV,5.93,1,2.80,0.64,一對一分離式
272,太欣科技空調有限公司,TXA-851UV,5.12,1,8.50,2.60,一對一分離式
273,太欣科技空調有限公司,TXA-281KVC,5.93,1,2.80,0.64,一對一分離式
274,太欣科技空調有限公司,TXA-721KV,5.11,1,7.20,2.25,一對一分離式
275,太欣科技空調有限公司,TXA-1121NV,5.03,1,11.20,3.39,一對一分離式
276,太欣科技空調有限公司,TXA-411KV,5.81,1,4.10,1.10,一對一分離式
277,太欣科技空調有限公司,TXA-1121NVC,5.03,1,11.20,3.39,一對一分離式
278,太欣科技空調有限公司,TXA-411KVC,5.81,1,4.10,1.10,一對一分離式
279,太欣科技空調有限公司,TXA-851UVC,5.12,1,8.50,2.60,一對一分離式
280,太欣科技空調有限公司,TXA-853KV,5.12,1,8.50,2.60,一對一分離式
281,太欣科技空調有限公司,TXA-901NV,5.03,1,11.20,3.39,一對一分離式
282,太欣科技空調有限公司,TXA-1041NV,5.03,1,11.20,3.39,一對一分離式
283,太欣科技空調有限公司,TXA-723KV,5.11,1,7.20,2.25,一對一分離式
284,太欣科技空調有限公司,TXA-1041NVC,5.03,1,11.20,3.39,一對一分離式
285,太欣科技空調有限公司,TXA-1401GVC,5.03,1,14.20,4.33,一對一分離式
286,太欣科技空調有限公司,TXA-851NVC,5.12,1,8.50,2.60,一對一分離式
287,太欣科技空調有限公司,TXA-501KVC,5.41,1,5.00,1.65,一對一分離式
288,太欣科技空調有限公司,TXA-631KV,5.33,1,6.30,1.85,一對一分離式
289,太昱空調有限公司,TCD-25V2MH,5.11,1,7.40,2.12,多管型系列組合分離式
290,太昱空調有限公司,TCD-14A2MH,5.40,1,4.10,1.08,一對一分離式
291,太昱空調有限公司,TCD-50AS,5.03,1,14.00,4.20,一對一分離式
292,太昱空調有限公司,TCD-14AMH,5.44,1,4.10,1.05,一對一分離式
293,太昱空調有限公司,TCD-30A2MH,5.18,1,8.50,2.15,一對一分離式
294,太昱空調有限公司,TCD-25A2MH,5.12,1,7.20,2.00,一對一分離式
295,太昱空調有限公司,TCD-18A2MH,5.38,1,5.00,1.40,一對一分離式
296,太昱空調有限公司,TCD-42V4MH,5.03,1,13.00,4.43,多管型系列組合分離式
297,太昱空調有限公司,TCD-08AMH,5.98,1,2.30,0.50,一對一分離式
298,太昱空調有限公司,TCD-13A2MH,5.94,1,3.60,0.82,一對一分離式
299,太昱空調有限公司,TCD-23AMH,5.33,1,6.30,1.78,一對一分離式
300,太昱空調有限公司,TCD-25AMH,5.11,1,7.20,2.21,一對一分離式
301,太昱空調有限公司,TCD-30V3MH,5.11,1,8.50,2.21,多管型系列組合分離式
302,太昱空調有限公司,TCD-50AS1,5.03,1,14.20,4.33,一對一分離式
303,太昱空調有限公司,TCD-36V3MH,5.03,1,10.50,3.28,多管型系列組合分離式
304,太昱空調有限公司,TCD-13AMH,5.95,1,3.60,0.85,一對一分離式
305,太昱空調有限公司,TCD-10AMH,6.06,1,2.80,0.61,一對一分離式
306,太昱空調有限公司,TCD-10A2MH,5.93,1,2.80,0.66,一對一分離式
307,太昱空調有限公司,TCD-18AMH,5.33,1,5.00,1.37,一對一分離式
308,太昱空調有限公司,TCD-18V2MH,5.33,1,5.20,1.48,多管型系列組合分離式
